rutemisor,tipodte,fchemis,folio,rutrecep,nrolindet,nmbitem,qtyitem,prcitem,montoitem,cmnarecep,cmnaorigen
33612,33,2018-04-20,10511,761943,1,amarras plasticas,50.000000,252.000000,12600.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-20,10511,761943,2,huincha aisladora,2.000000,1050.000000,2100.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-30,10611,651508,1,SEGUN GUIA 23384 13/3/18,1.000000,40168.000000,40168.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-30,10611,651508,2,SEGUN GUIA 23387 18/4/18,1.000000,20932.000000,20932.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-30,10611,651508,3,SEGUN GUIA 23390 19/4/18,1.000000,21160.000000,21160.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-27,10573,764527,1,mtscaolina 4,4.000000,840.000000,3360.0000,LAS CONDES,VILLA ALEMANA
33612,33,2018-04-27,10573,764527,2,prensa de hierro modular,2.000000,2899.000000,5798.0000,LAS CONDES,VILLA ALEMANA
33612,33,2018-04-27,10578,763994,1,30 cancanios 9,30.000000,210.000000,6300.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-28,10583,968166,1,PERNOS  3/8X6  CONPLETOS,12.000000,865.000000,10380.0000,LA REINA,VILLA ALEMANA
33612,33,2018-04-25,10551,66717,1,auto perforante 2 1/2,50.000000,58.000000,2900.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-25,10551,66717,2,caja,1.000000,370.000000,370.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-25,10551,66717,3,enchufe triple,1.000000,2016.000000,2016.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-25,10551,66717,4,"broca3,5",1.000000,589.000000,589.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-25,10551,66717,5,"broca 5,0",4.000000,1050.000000,4200.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-24,10528,761123,1,SILICONA,3.000000,1680.000000,5040.0000,VILLA ALEMANA,VILLA ALEMANA
